label,k,m,ring_dim,depth,phase_init_ms,phase_insert_ms,phase_delete_ms,phase_signature_ms,phase_encode_ms,phase_encrypt_ms,phase_compute_ms,phase_decrypt_ms,total_ms,memory_bytes,ct_size_bytes,jaccard_computed,jaccard_expected,jaccard_error,ops_insert_per_sec,ops_delete_per_sec
accuracy_0.200000_t40,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t41,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t42,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t43,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t44,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t45,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t46,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t47,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t48,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t49,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.300000_t0,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013,0.0,0.0
